/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-8g4q-xg66-9fp4
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-hh2w-p6rv-4g7w
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-8g4q-xg66-9fp4
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-hh2w-p6rv-4g7w
CUSTOMER_NAME	Address	City	State	Zip
Deanz Greenz	14154 SE DIVISION ST	PORTLAND	OR	97236
Sensimilla	3210 N LOMBARD ST	PORTLAND	OR	97217
Seaweed Reef LLC	5417 N Coast hwy	Newport	OR	97365
Budz Cannabis Superstore	3600 MERLIN RD	GRANTS PASS	OR	97526
CannaVida	325 NE Franklin Ave	Bend	OR	97701
Bahama Buds (DF)	1415 N BAYSHORE DR	COOS BAY	OR	97420
Breeze Botanicals Ashland (DF)	1526 SISKIYOU BLVD	ASHLAND	OR	97539
Green Room	2521 NW 9TH ST	CORVALLIS	OR	97330
HAPPY LEAF	1301 NE BROADWAY ST	PORTLAND	OR	97232
Diem Cannabis - Commercial St	1040 COMMERCIAL STREET SE	SALEM	OR	97302
M Thrive Organics LLC	3226 WEST 2ND STREET	THE DALLES	OR	97058
Rogue Valley Cannabis - Central Point (DF)	6388 CRATER LAKE	CENTRAL POINT	OR	97502
Forward Cannabis (DF)	1580 NE 7TH STREET SUITE A	GRANTS PASS	OR	97526
Slim's | Portland	4936 N Williams Ave	Portland	OR	97217
Reefer Madness	1675 FAIRGROUNDS RD. NE	SALEM	OR	97301
Oregon Bud Company - Beaverton	3270 SW CEDAR HILLS BLVD #104	BEAVERTON	OR	97005
Oregon Bud Company - Beaverton	5515 SE 122 AVE	PORTLAND	OR	97236
Oregon Bud Company - Beaverton	837 SW BAY BLVD	NEWPORT	OR	97365
Rare Earth Dispensary LLC (DF)	2880 ELMIRA RD SUITE B	EUGENE	OR	97402
The New Amsterdam (DF)	15 N F ST	LAKEVIEW	OR	97630
Top Shelf Wellness Center (DF)	205 N PHOENIX RD SUITE #C	PHOENIX	OR	97535
Top Shelf Wellness Center (DF)	7162 CRATER LAKE HWY	WHITE CITY	OR	97503
Pur Roots	5816 NE PORTLAND HWY	PORTLAND	OR	97218
The Green Planet Beaverton	10100 SW CANYON RD	BEAVERTON	OR	97005
LUCKY LION	7817 NE Halsey St	PORTLAND	OR	97213
Cannabis & Glass (DF-SR)	182 EAST LANE	ONTARIO	OR	97914
Puddletown Organics	8201 SE POWELL BLVD SUITE F	PORTLAND	OR	97266
Power Plant Thurman	2384 NW THURMAN ST	Portland	OR	97210
Power Plant	10215 SE Foster Rd	Portland	OR	97266
POPS	264A Sixth ST	Port Orford	OR	97465
Plus Dispensary	45 NE 122ND AVE	PORTLAND	OR	97220
Pipe Dreams Dispensary (DF)	"1745 SW HIGHWAY 101 SUITES A	 B & C"	OR	OR
Zion	340 SE 13TH ST	ONTARIO	OR	97914
Plane Jane's	10530 NE SIMPSON ST.	PORTLAND	OR	97220
Papa Buds	4020 SE CESAR E CHAVEZ BLVD	PORTLAND	OR	97202
Otis Collective (DF)	1257 SALMON RIVER HWY	OTIS	OR	97368
Emerald City Dispensary (DF)	50414 COLUMBIA RIVER	SCAPPOOSE	OR	97056
Oregon Coast Dispensary Inc (DF)	861 A. NW BEACH DRIVE	NEWPORT	OR	97365
Coastal Craft Cannabis (DF)	200 N Roosevelt	Seaside	OR	97138
Natural Remedies	8720 SW BARBUR CT SUITE Z	PORTLAND	OR	97219
NoDak Green Prairie (DF)	390 COBURG ROAD SUITE A - 2	EUGENE	OR	97401
Eden Cannabis - HAH	4618 PORTLAND RD. NE #110	SALEM	OR	97305
Solutions of the Millennium LLC (DF)	2893 OAK ST	EUGENE	OR	97405
Kaleafa - Wholesale - Oregon (CT)	8235 SE Stark St.	Portland	OR	97206
Kaleafa - Wholesale - Oregon (CT)	TBD	RBD	OR	97216
Hood River Naturals	1020 WASCO SUITE K	HOOD RIVER	OR	97031
FX 420 INC (CT-DF)	"161 NW GARDEN VALLEY BLVD	 SUITE 105"	OR	OR
Farm Grass Table	4140 WESTCLIFF DRIVE	HOOD RIVER	OR	97031
The Herbal Connection (DF)	463 RIVER AVE.	EUGENE	OR	97404
Top Crop Cannabis Ontario	297 SE 10TH STREET	ONTARIO	OR	97914
Parlour	4702 SW SCHOLLS FERRY ROAD	PORTLAND	OR	97225
TJ's Provisions (DF)	1910 EMPIRE PARK DRIVE	EUGENE	OR	97402
The Green Front Sandy	8138 NE Sandy Blvd	Portland	OR	97213
Mandy's Sugar Shack (DF)	339 HWY 99 SOUTH	COTTAGE GROVE	OR	97424
Cannasource	4435 NE 148TH AVE UNIT C	PORTLAND	OR	97230
